"...1","artist_name","track_name","track_id","popularity","year","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_artist","track_album_id","track_album_name","track_album_release_date"
146818,"One Direction","No Control","4JaLkM90MJutDAl5jD9BZX",69,2014,"pop",0.558,0.916,1,-3.145,0,0.0839,0.0278,0,0.0296,0.85,142.984,199720,4,"One Direction","4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","2014-11-17"
146822,"SZA","Childs Play (feat. Chance the Rapper)","7GPstnufSTScEaw9dMxO9H",63,2014,"pop",0.759,0.342,1,-9.044,0,0.0406,0.775,0,0.112,0.22,99.995,216234,4,"SZA","2qCyMMQ785sPH4Yx25GQZ8","Z","2014-04-08"
146827,"Cyndi Lauper","Time After Time","1Jj6MF0xDOMA3Ut2Z368Bx",70,2014,"pop",0.724,0.436,0,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,243067,4,"Cyndi Lauper","4pox3k0CGuwwAknR9GtcoX","She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)","2014-03-28"
146873,"Luis Fonsi","Llegaste Tú","609SDGj0txmlAXRrpwee9Y",65,2014,"pop",0.768,0.529,1,-6.758,1,0.0405,0.79,0,0.2,0.517,119.953,221947,4,"Luis Fonsi","3dnAanoquMtbaksF7pUjyI","8","2014-01-01"
146897,"Chayanne","Humanos a Marte","7lOzUJzsELALh5FQsPKTEn",67,2014,"pop",0.69,0.902,6,-4.269,0,0.0407,0.112,0,0.175,0.786,92.988,225987,4,"Chayanne","0P0d0y1LQ5VGrp58TQ0oM2","En Todo Estaré (Deluxe Edition)","2014-08-25"
146929,"Pablo Alborán","Pasos de cero","18mmN3VrFWRi6SsSBJf6WJ",64,2014,"pop",0.749,0.637,7,-6.924,1,0.0764,0.308,0,0.0878,0.798,99.951,234373,4,"Pablo Alborán","1cWvezm4YsxlvvOSRUXLmS","Terral","2014-11-10"
146930,"Luis Fonsi","Corazón En La Maleta","3ljr9ATeLs2BY9gNp7vm62",63,2014,"pop",0.642,0.639,9,-5.134,1,0.0529,0.027,0,0.0871,0.874,165.977,221520,4,"Luis Fonsi","3dnAanoquMtbaksF7pUjyI","8","2014-01-01"
146940,"Chayanne","Madre Tierra (Oye)","2wlptOJ1g5fvLdu6ruKCKU",65,2014,"pop",0.695,0.954,0,-3.501,1,0.0607,0.0183,0,0.249,0.796,124.961,205920,4,"Chayanne","0P0d0y1LQ5VGrp58TQ0oM2","En Todo Estaré (Deluxe Edition)","2014-08-25"
155103,"John Mayer","XO","7cpCU3Denug5NGZsSpQl8v",69,2014,"singer-songwriter",0.431,0.377,2,-9.753,1,0.0288,0.749,0,0.211,0.353,173.67,213627,4,"John Mayer","305TANxsPTFkiqS4cEilx1","XO","2014-05-27"
157735,"Pablo Alborán","Recuérdame","5UEtsmhfAtUb1KmPGougtO",60,2014,"spanish",0.512,0.455,0,-6.775,0,0.0332,0.0998,0,0.151,0.0759,143.149,287733,4,"Pablo Alborán","1cWvezm4YsxlvvOSRUXLmS","Terral","2014-11-10"
162919,"X Ambassadors","Unsteady","7lGKEWMXVWWTt3X71Bv44I",71,2015,"alt-rock",0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,193547,4,"X Ambassadors","7A8fZ2jjiu5heq7wNCutKN","VHS","2015-06-30"
